Penn World Tables 6.1

"COL0","YEAR"
"COL1","Belgium/CGPD RELATIVE TO THE UNITED STATES (unit US=100)"
"COL2","Belgium/CONSUMPTION SHARE OF CGPD (unit %)"
"COL3","Belgium/CONSUMPTION SHARE OF RGDPL (unit %)"
"COL4","Belgium/CURRENT SAVINGS (unit %)"
"COL5","Belgium/EXCHANGE RATE (unit US=1)"
"COL6","Belgium/GOVERNMENT SHARE OF CGDP (unit %)"
"COL7","Belgium/GOVERNMENT SHARE OF RGDPL (unit %)"
"COL8","Belgium/INVESTMENT SHARE OF CGDP (unit %)"
"COL9","Belgium/INVESTMENT SHARE OF RGDPL (unit %)"
"COL10","Belgium/OPENNESS IN CONSTANT PRICES (unit %)"
"COL11","Belgium/OPENNESS IN CURRENT PRICES (unit %)"
"COL12","Belgium/POPULATION (unit 000S)"
"COL13","Belgium/PRICE LEVEL OF CONSUMPTION (unit PPP/XRATE)"
"COL14","Belgium/PRICE LEVEL OF GOVERNMENT (unit PPP/XRATE)"
"COL15","Belgium/PRICE LEVEL OF GROSS DOMESTIC PRODUCT (unit US=100)"
"COL16","Belgium/PRICE LEVEL OF INVESTMENT (unit PPP/XRATE)"
"COL17","Belgium/RATIO OF GNP TO GDP (CURRENT PRICES) (unit %)"

"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17"
1984,69.7666298670,56.1837830200,55.3932004430,22.3274360740,57.7839000000,21.4887809060,20.3910680960,21.4474157150,19.2837950440,104.1748054200,146.4487935200,9855.0000000000,71.3720662850,77.0900124430,70.6221750890,62.1774437260,99.2957976070
1985,69.6675450960,56.0259335220,55.5425810410,22.4000516110,59.3780000000,21.5740148670,20.5865363060,21.0399701440,19.0414305070,102.5915264000,141.4870996600,9857.0000000000,70.9564918610,73.2789928590,68.9133234350,58.9962259290,99.2404190850
1986,70.7931371910,55.7113232220,56.2532010140,23.3343802550,44.6719000000,20.9542965230,20.4977427510,20.6287846050,19.1927966120,104.4761877400,128.3167096800,9859.0000000000,91.7279086750,97.9875707420,90.0840133970,77.6161404590,99.5129077500
1987,71.2055576810,55.3344208720,55.6396861410,24.1646249590,37.3341000000,20.5009541690,20.4283959510,21.9432579050,20.6153898700,107.3624989600,125.3283365000,9870.0000000000,108.1124835400,116.4346998200,105.6953883300,89.5667579290,99.5174893760
1988,73.0004883180,53.9470888360,54.8873205950,26.8913839490,36.7683000000,19.1615272150,19.3017045080,24.0127034500,22.7093348320,112.3556510000,132.6525213300,9904.0000000000,107.3552300100,115.6945298900,104.6367284300,89.7054812820,99.2655375120
1989,74.1640110480,53.4437306370,54.7635259920,27.7728830390,39.4040000000,18.7833863240,18.7487440540,25.1212079420,23.9830827700,117.5538249400,141.5828472900,9940.0000000000,100.5330231300,106.4408193700,98.0689087530,86.5669022760,98.4469836790
1990,75.5967272990,53.6904849820,54.7930359270,27.6225049580,33.4179000000,18.6870100590,18.1061362450,25.4595751950,24.7009797970,119.3087059200,137.7045200000,9968.0000000000,117.0828084600,123.6289168600,114.6042124100,102.7531990100,99.2577721640
1991,77.5748000980,55.1347042330,55.6312245110,26.7314076510,34.1483000000,18.1338881160,18.4736995490,24.4514042180,23.2928302300,121.0342991400,134.6959198500,10006.0000000000,112.2642845700,128.2508374000,111.5994979100,97.7513630450,99.6229484710
1992,77.3612388160,55.3951516290,55.9870164330,26.3825561530,32.1495000000,18.2222922180,18.4558925470,23.3491642130,23.1581749580,123.7898856600,130.3811237400,10047.0000000000,118.2041343900,136.7315748700,119.2952056500,108.2759436700,99.8823155780
1993,75.0376821550,55.3087533760,56.3556596450,26.3829178170,34.5965000000,18.3083288070,18.7260120940,22.6040927300,22.5410300360,125.3057676600,124.4790227700,10086.0000000000,110.5569365400,130.6349311600,111.8680515800,99.8757957060,101.2981734600
1994,74.1122836380,55.1048750390,55.9625615920,26.6115402730,33.4565000000,18.2835846880,18.4797844010,22.3239334390,22.3523100220,131.5225193700,130.2168707900,10116.0000000000,115.5707185300,135.5415877500,116.1508090000,101.7014229400,101.7046482600
1995,74.2147020880,54.2377524220,54.8804725100,27.4194250900,29.4800000000,18.3428224870,18.2186506930,23.1294293260,23.1202563950,134.8600057600,133.7284618400,10137.0000000000,131.9703924600,153.6880300900,131.9260034200,114.5635104400,101.1109253300
1996,72.2794315260,54.9328562730,54.9328562730,26.6031251160,30.9615000000,18.4640186110,18.4640186110,22.5338992760,22.5338992760,137.0342210300,137.0342210300,10155.0000000000,125.5161436100,147.6933806000,125.9624856100,109.2445264300,101.3852464500
1997,71.7837515790,54.3897153570,53.9878985670,27.7283089330,35.7739000000,17.8819757110,17.8359977710,23.3313691800,23.3709636050,139.4866713000,144.8301434500,10180.0000000000,108.4955458300,128.9760459300,108.9475029500,94.6505237290,100.7978677700
1998,71.2339715470,54.7094803380,54.2847462370,27.7165371010,36.2986000000,17.5739825600,17.6870364390,23.5744766270,24.1970027160,145.3043394300,146.0900422800,10203.0000000000,106.3754607200,128.8003242600,107.1597011200,92.8473346520,100.7270793300
1999,70.4517036890,54.7981363880,53.8562527260,27.2197417980,37.8641000000,17.9821218140,17.7300091250,22.9436753780,23.8548957080,147.5431323400,146.9504397300,10222.0000000000,101.3437699100,121.9726049900,103.3187378300,93.4157233200,100.7707507400
2000,70.2117433900,54.2852600320,53.7202058480,26.8517777340,43.7849000000,18.8629622350,17.4703561340,23.6157116180,24.0348853610,155.5675580600,169.3327916400,10254.0000000000,88.9119445090,100.0505917200,89.2222395920,81.2864064070,101.0633045100

